,Date,year,month,monthf,week,weekday,weekdayf,ma_short,ma_medium,ma_long,BT_Close,BT_Open,BT_High,BT_Low,BT_Volume,ETH_Close,ETH_Volume,ADA_Close,ADA_Volume,XRP_Close,XRP_Volume,BNB_Close,BNB_Volume,USDT_Close,USDT_Volume
1366,2018-09-27,2018,9,September,39,27,Thursday,6625.884347098215,6559.305234375,6766.306453203914,6676.75,6495.2900390625,6712.10009765625,6464.9501953125,4606810000,228.49400329589844,2030320000.0,0.08600100129842758,101911000.0,0.5413810014724731,824083000,10.031200408935547,26966900.0,0.9971070289611816,3408680000.0
1367,2018-09-28,2018,9,September,39,28,Friday,6612.910016741072,6534.66802734375,6765.44170217803,6644.1298828125,6678.75,6785.02978515625,6598.31982421875,5014430000,222.40199279785156,2018120000.0,0.08403199911117554,89113600.0,0.5391119718551636,718255000,9.969340324401855,25097900.0,1.001420021057129,3447280000.0
1370,2018-10-01,2018,10,October,40,1,Monday,6582.784319196428,6500.0072265625,6779.560290404041,6589.6201171875,6619.85009765625,6653.2998046875,6549.080078125,4000970000,230.76800537109375,1597500000.0,0.08446899801492691,42076400.0,0.5764610171318054,1412800000,9.943659782409668,25138500.0,0.9979249835014343,3069480000.0
1371,2018-10-02,2018,10,October,40,2,Tuesday,6598.445731026785,6503.5684375,6782.660491635101,6556.10009765625,6593.240234375,6611.83984375,6537.89990234375,3979260000,227.18099975585938,1542080000.0,0.08252499997615814,34775200.0,0.5208370089530945,743705000,10.356800079345703,41386000.0,0.9997410178184509,2818190000.0
1372,2018-10-03,2018,10,October,40,3,Wednesday,6599.529994419643,6514.63283203125,6786.790995896465,6502.58984375,6553.85986328125,6571.4599609375,6454.02978515625,3887310000,220.48899841308594,1683930000.0,0.0807889997959137,38063700.0,0.5281620025634766,789229000,10.271200180053711,38371900.0,0.9985690116882324,2812780000.0
1373,2018-10-04,2018,10,October,40,4,Thursday,6585.235700334822,6525.66603515625,6791.0289762863,6576.68994140625,6497.91015625,6603.31005859375,6497.91015625,3838410000,222.21800231933594,1479500000.0,0.08130399882793427,31665100.0,0.526606023311615,621615000,10.255599975585938,32534900.0,0.9961850047111511,2374680000.0
1374,2018-10-05,2018,10,October,40,5,Friday,6582.142857142857,6537.3772265625,6798.292006983902,6622.47998046875,6574.14990234375,6623.6201171875,6557.41015625,3671500000,227.6009979248047,1547330000.0,0.08299099653959274,31160900.0,0.519025981426239,589636000,10.636199951171875,40756200.0,0.9957780241966248,2330830000.0
1377,2018-10-08,2018,10,October,41,8,Monday,6585.907156808035,6563.50443359375,6806.730093907829,6652.22998046875,6600.18994140625,6675.06005859375,6576.0400390625,3979460000,229.2550048828125,1470740000.0,0.08660700172185898,62079800.0,0.48975101113319397,540832000,10.506600379943848,31932700.0,0.9958140254020691,2594100000.0
1378,2018-10-09,2018,10,October,41,9,Tuesday,6598.27001953125,6568.701640625,6807.017568260732,6642.64013671875,6653.080078125,6661.41015625,6606.93994140625,3580810000,227.98199462890625,1405130000.0,0.0863569974899292,38710200.0,0.4798569977283478,416867000,10.384900093078613,27881100.0,0.9967790246009827,2183500000.0
1379,2018-10-10,2018,10,October,41,10,Wednesday,6610.118582589285,6570.39482421875,6807.582618173927,6585.52978515625,6640.2900390625,6640.2900390625,6538.9599609375,3787650000,225.7689971923828,1384040000.0,0.0846790000796318,35888200.0,0.46238699555397034,412207000,10.32800006866455,26141100.0,0.9935020208358765,2295300000.0
1380,2018-10-11,2018,10,October,41,11,Thursday,6564.340053013393,6559.9572265625,6804.135046756629,6256.240234375,6586.740234375,6586.740234375,6243.740234375,5181640000,189.49899291992188,2167620000.0,0.07093899697065353,72659700.0,0.3831300139427185,791202000,9.30132007598877,26084400.0,0.9930260181427002,3772600000.0
1381,2018-10-12,2018,10,October,41,12,Friday,6514.640066964285,6559.692421875,6800.452621922348,6274.580078125,6239.25,6328.5,6236.47021484375,3783500000,196.7270050048828,1487900000.0,0.07321400195360184,40979000.0,0.41911500692367554,820154000,9.528940200805664,26099400.0,0.9941020011901855,2962380000.0
1384,2018-10-15,2018,10,October,42,15,Monday,6418.921526227678,6555.05044921875,6789.029898595329,6596.5400390625,6292.64013671875,6965.06005859375,6258.68017578125,7370770000,209.70399475097656,2865830000.0,0.07478900253772736,71953000.0,0.4473159909248352,1041470000,10.316100120544434,52331400.0,0.9801380038261414,5891700000.0
1385,2018-10-16,2018,10,October,42,16,Tuesday,6412.274344308035,6549.4968359375,6787.55878610322,6596.10986328125,6601.41015625,6673.58984375,6571.3701171875,4074800000,210.1199951171875,1532280000.0,0.07581400126218796,26555800.0,0.47025299072265625,605102000,10.010899543762207,30719200.0,0.9751520156860352,2585550000.0
1386,2018-10-17,2018,10,October,42,17,Wednesday,6406.402971540178,6542.39484375,6789.725250552399,6544.43017578125,6590.52001953125,6601.2099609375,6517.4501953125,4088420000,207.08299255371094,1444130000.0,0.07740800082683563,36907800.0,0.4681969881057739,526538000,9.904470443725586,35325400.0,0.9712250232696533,2569210000.0
1387,2018-10-18,2018,10,October,42,18,Thursday,6437.898646763393,6533.038046875,6790.553533380682,6476.7099609375,6542.330078125,6567.5400390625,6450.0400390625,3924080000,203.3520050048828,1365860000.0,0.07513099908828735,28634400.0,0.45772498846054077,476876000,9.716580390930176,29790800.0,0.9808580279350281,2485030000.0
1388,2018-10-19,2018,10,October,42,19,Friday,6465.160086495535,6527.838046875,6792.943433357008,6465.41015625,6478.06982421875,6493.68017578125,6445.31005859375,3578870000,203.7270050048828,1264480000.0,0.07583600282669067,18153800.0,0.45417800545692444,303401000,9.76675033569336,24658400.0,0.987712025642395,2322570000.0
1391,2018-10-22,2018,10,October,43,22,Monday,6505.908621651785,6521.45724609375,6798.851414535985,6487.16015625,6486.0498046875,6543.7998046875,6462.97998046875,3672860000,204.04400634765625,1328980000.0,0.07577600330114365,16871700.0,0.4531089961528778,249302000,9.726849555969238,27599800.0,0.9839980006217957,2213350000.0
1392,2018-10-23,2018,10,October,43,23,Tuesday,6488.712960379465,6514.72166015625,6796.164447206439,6475.740234375,6472.35986328125,6506.009765625,6451.27001953125,3716150000,204.33599853515625,1237490000.0,0.07474300265312195,20710600.0,0.46205800771713257,445238000,9.803079605102539,30852200.0,0.987962007522583,2111740000.0
1393,2018-10-24,2018,10,October,43,24,Wednesday,6481.771484375,6510.47685546875,6787.829091698232,6495.83984375,6478.89013671875,6521.990234375,6468.85986328125,3424670000,203.8520050048828,1102220000.0,0.07432100176811218,14151400.0,0.45723700523376465,295115000,9.745320320129395,26652600.0,0.9886119961738586,1781560000.0
1394,2018-10-25,2018,10,October,43,25,Thursday,6481.711495535715,6504.5060546875,6778.793841737689,6476.2900390625,6484.64990234375,6504.64990234375,6447.02978515625,3230550000,202.718994140625,1102900000.0,0.07385899871587753,12567300.0,0.45805200934410095,273380000,9.692279815673828,25207400.0,0.9887909889221191,1677800000.0
1395,2018-10-26,2018,10,October,43,26,Friday,6483.045758928572,6499.91125,6768.772529987374,6474.75,6468.43994140625,6498.2900390625,6449.60986328125,3306050000,203.32899475097656,1161310000.0,0.07371299713850021,13464800.0,0.45928800106048584,235514000,9.702679634094238,24495800.0,0.9897890090942383,1881270000.0
1398,2018-10-29,2018,10,October,44,29,Monday,6460.28857421875,6486.47205078125,6739.555254695391,6332.6298828125,6492.35009765625,6503.60009765625,6306.990234375,4199910000,197.2469940185547,1517230000.0,0.06962700188159943,21315700.0,0.4415139853954315,341648000,9.402620315551758,24583200.0,0.9968590140342712,2296810000.0
1399,2018-10-30,2018,10,October,44,30,Tuesday,6440.078543526785,6474.94365234375,6725.6477815262,6334.27001953125,6337.0400390625,6364.990234375,6310.14013671875,3781100000,197.55599975585938,1363500000.0,0.06964699923992157,11418800.0,0.4447590112686157,245858000,9.387040138244629,24305700.0,0.9966710209846497,1983070000.0
1400,2018-10-31,2018,10,October,44,31,Wednesday,6414.617117745535,6464.11564453125,6704.368390940656,6317.60986328125,6336.990234375,6349.16015625,6316.8798828125,4191240000,197.38099670410156,1442380000.0,0.06970500200986862,16366000.0,0.4483819901943207,367008000,9.364959716796875,21398200.0,0.9881219863891602,2152470000.0
1401,2018-11-01,2018,11,November,44,1,Thursday,6400.544224330357,6455.108828125,6686.150104561238,6377.77978515625,6318.14013671875,6547.14013671875,6311.830078125,3789400000,198.8719940185547,1336700000.0,0.07086700201034546,11256600.0,0.45572200417518616,346501000,9.549220085144043,19690100.0,0.9917200207710266,2043660000.0
1402,2018-11-02,2018,11,November,44,2,Friday,6388.214215959822,6444.5572265625,6670.360810250947,6388.43994140625,6378.919921875,6396.85986328125,6327.3798828125,4234870000,200.63499450683594,1451870000.0,0.07258400321006775,18823400.0,0.4586850106716156,401300000,9.573080062866211,21304800.0,0.9935010075569153,2373920000.0
1405,2018-11-05,2018,11,November,45,5,Monday,6367.878487723215,6431.4628125,6615.627776791351,6419.66015625,6363.6201171875,6480.58984375,6363.6201171875,4174800000,209.09100341796875,1613510000.0,0.07614800333976746,34358100.0,0.4974119961261749,556519000,9.672510147094727,21103300.0,0.9931759834289551,2757810000.0
1406,2018-11-06,2018,11,November,45,6,Tuesday,6385.984165736607,6438.92,6598.259390782829,6461.009765625,6433.3798828125,6463.5498046875,6408.16015625,4700040000,218.45199584960938,1856940000.0,0.0809520035982132,49473200.0,0.5490800142288208,1333160000,9.780810356140137,24810200.0,0.992796003818512,3076640000.0
1407,2018-11-07,2018,11,November,45,7,Wednesday,6416.345633370535,6448.68599609375,6585.630099826389,6530.14013671875,6468.5,6552.16015625,6468.31005859375,4941260000,217.18299865722656,1927830000.0,0.0785439983010292,36852900.0,0.5357069969177246,631230000,9.816929817199707,23433700.0,0.9932699799537659,3266710000.0
1408,2018-11-08,2018,11,November,45,8,Thursday,6427.194266183035,6455.19759765625,6573.799898398043,6453.72021484375,6522.27001953125,6536.919921875,6438.52978515625,4665260000,212.2310028076172,1769080000.0,0.07649300247430801,32149600.0,0.4935080111026764,686221000,9.65095043182373,21877100.0,0.994333028793335,2951660000.0
1409,2018-11-09,2018,11,November,45,9,Friday,6426.791434151785,6446.76080078125,6561.865254103535,6385.6201171875,6442.60009765625,6456.4599609375,6373.3701171875,4346820000,210.07400512695312,1554750000.0,0.0742259994149208,23756800.0,0.5006679892539978,509865000,9.554200172424316,18859800.0,0.9948319792747498,2643090000.0
1412,2018-11-12,2018,11,November,46,12,Monday,6431.750069754465,6429.7412109375,6538.188890861742,6371.27001953125,6411.759765625,6434.2099609375,6360.47021484375,4295770000,210.41799926757812,1452380000.0,0.07600100338459015,20975100.0,0.5171650052070618,605042000,9.361220359802246,19452700.0,0.9891480207443237,2716680000.0
1413,2018-11-13,2018,11,November,46,13,Tuesday,6417.247279575893,6425.5044140625,6532.205965909091,6359.490234375,6373.18994140625,6395.27001953125,6342.669921875,4503800000,206.8260040283203,1610260000.0,0.07360299676656723,20329300.0,0.5101119875907898,521675000,9.24841022491455,17068400.0,0.9851179718971252,2679670000.0
1414,2018-11-14,2018,11,November,46,14,Wednesday,6304.134416852678,6395.4708203125,6521.955763691603,5738.35009765625,6351.240234375,6371.5498046875,5544.08984375,7398940000,181.39700317382812,2595330000.0,0.06482400000095367,54964400.0,0.474371999502182,980604000,8.407010078430176,19518100.0,0.9666439890861511,4749050000.0
